origin,TEAM_ABBREVIATION_x,destination,TEAM_ABBREVIATION_y,distance_miles
Atlanta Hawks,ATL,Atlanta,ATL,0
Boston Celtics,BOS,Atlanta,ATL,1086.22
Brooklyn Nets,BKN,Atlanta,ATL,872.39
Charlotte Hornets,CHA,Atlanta,ATL,244.35
Chicago Bulls,CHI,Atlanta,ATL,718.13
Cleveland Cavaliers,CLE,Atlanta,ATL,707.78
Dallas Mavericks,DAL,Atlanta,ATL,782.72
Denver Nuggets,DEN,Atlanta,ATL,1399.62
Detroit Pistons,DET,Atlanta,ATL,730.24
Golden State Warriors,GSW,Atlanta,ATL,2457.18
Houston Rockets,HOU,Atlanta,ATL,793.34
Indiana Pacers,IND,Atlanta,ATL,531.78
Los Angeles Lakers,LAL,Atlanta,ATL,2175.86
Los Angeles Clippers,LAC,Atlanta,ATL,2175.86
Memphis Grizzlies,MEM,Atlanta,ATL,383.11
Miami Heat,MIA,Atlanta,ATL,662.17
Milwaukee Bucks,MIL,Atlanta,ATL,811.19
Minnesota Timberwolves,MIN,Atlanta,ATL,1126.43
New Orleans Pelicans,NOP,Atlanta,ATL,471.46
New York Knicks,NYK,Atlanta,ATL,873.58
Oklahoma City Thunder,OKC,Atlanta,ATL,848.02
Orlando Magic,ORL,Atlanta,ATL,438.51
Philadelphia 76ers,PHI,Atlanta,ATL,784.85
Phoenix Suns,PHX,Atlanta,ATL,1845.33
Portland Trailblazers,POR,Atlanta,ATL,2595.09
Sacramento Kings,SAC,Atlanta,ATL,2470.71
San Antonio Spurs,SAS,Atlanta,ATL,983.65
Toronto Raptors,TOR,Atlanta,ATL,968.86
Utah Jazz,UTA,Atlanta,ATL,1870.51
Washington Wizards,WAS,Atlanta,ATL,637.9
Atlanta Hawks,ATL,Boston,BOS,1100.15
Boston Celtics,BOS,Boston,BOS,0
Brooklyn Nets,BKN,Boston,BOS,216.93
Charlotte Hornets,CHA,Boston,BOS,839.43
Chicago Bulls,CHI,Boston,BOS,984.66
Cleveland Cavaliers,CLE,Boston,BOS,640.16
Dallas Mavericks,DAL,Boston,BOS,1769.76
Denver Nuggets,DEN,Boston,BOS,1970.45
Detroit Pistons,DET,Boston,BOS,718.09
Golden State Warriors,GSW,Boston,BOS,3099.88
Houston Rockets,HOU,Boston,BOS,1848.42
Indiana Pacers,IND,Boston,BOS,950.07
Los Angeles Lakers,LAL,Boston,BOS,2985.59
Los Angeles Clippers,LAC,Boston,BOS,2985.59
Memphis Grizzlies,MEM,Boston,BOS,1363.81
Miami Heat,MIA,Boston,BOS,1490.03
Milwaukee Bucks,MIL,Boston,BOS,1074.06
Minnesota Timberwolves,MIN,Boston,BOS,1390.43
New Orleans Pelicans,NOP,Boston,BOS,1526.43
New York Knicks,NYK,Boston,BOS,213.83
Oklahoma City Thunder,OKC,Boston,BOS,1690.85
Orlando Magic,ORL,Boston,BOS,1286.43
Philadelphia 76ers,PHI,Boston,BOS,306.63
Phoenix Suns,PHX,Boston,BOS,2648.03
Portland Trailblazers,POR,Boston,BOS,3091.49
Sacramento Kings,SAC,Boston,BOS,3016.02
San Antonio Spurs,SAS,Boston,BOS,2038.73
Toronto Raptors,TOR,Boston,BOS,549.47
Utah Jazz,UTA,Boston,BOS,2366.92
Washington Wizards,WAS,Boston,BOS,439.52
Atlanta Hawks,ATL,Brooklyn - NY,BKN,865.25
Boston Celtics,BOS,Brooklyn - NY,BKN,217.19
Brooklyn Nets,BKN,Brooklyn - NY,BKN,0
Charlotte Hornets,CHA,Brooklyn - NY,BKN,628.8
Chicago Bulls,CHI,Brooklyn - NY,BKN,793.24
Cleveland Cavaliers,CLE,Brooklyn - NY,BKN,470.85
Dallas Mavericks,DAL,Brooklyn - NY,BKN,1551.84
Denver Nuggets,DEN,Brooklyn - NY,BKN,1779.03
Detroit Pistons,DET,Brooklyn - NY,BKN,625.56
Golden State Warriors,GSW,Brooklyn - NY,BKN,2908.46
Houston Rockets,HOU,Brooklyn - NY,BKN,1630.5
Indiana Pacers,IND,Brooklyn - NY,BKN,712.64
Los Angeles Lakers,LAL,Brooklyn - NY,BKN,2793.79
Los Angeles Clippers,LAC,Brooklyn - NY,BKN,2793.79
Memphis Grizzlies,MEM,Brooklyn - NY,BKN,1099.51
Miami Heat,MIA,Brooklyn - NY,BKN,1279.43
Milwaukee Bucks,MIL,Brooklyn - NY,BKN,882.64
Minnesota Timberwolves,MIN,Brooklyn - NY,BKN,1199
New Orleans Pelicans,NOP,Brooklyn - NY,BKN,1308.51
New York Knicks,NYK,Brooklyn - NY,BKN,5.27
Oklahoma City Thunder,OKC,Brooklyn - NY,BKN,1470.17
Orlando Magic,ORL,Brooklyn - NY,BKN,1075.81
Philadelphia 76ers,PHI,Brooklyn - NY,BKN,96.39
Phoenix Suns,PHX,Brooklyn - NY,BKN,2427.35
Portland Trailblazers,POR,Brooklyn - NY,BKN,2900.07
Sacramento Kings,SAC,Brooklyn - NY,BKN,2824.6
San Antonio Spurs,SAS,Brooklyn - NY,BKN,1820.81
Toronto Raptors,TOR,Brooklyn - NY,BKN,499.93
Utah Jazz,UTA,Brooklyn - NY,BKN,2175.49
Washington Wizards,WAS,Brooklyn - NY,BKN,229.28
Atlanta Hawks,ATL,Charlotte,CHA,243.69
Boston Celtics,BOS,Charlotte,CHA,848.51
Brooklyn Nets,BKN,Charlotte,CHA,634.7
Charlotte Hornets,CHA,Charlotte,CHA,0
Chicago Bulls,CHI,Charlotte,CHA,759.31
Cleveland Cavaliers,CLE,Charlotte,CHA,514.45
Dallas Mavericks,DAL,Charlotte,CHA,1027.08
Denver Nuggets,DEN,Charlotte,CHA,1562.19
Detroit Pistons,DET,Charlotte,CHA,637.84
Golden State Warriors,GSW,Charlotte,CHA,2701.54
Houston Rockets,HOU,Charlotte,CHA,1036.73
Indiana Pacers,IND,Charlotte,CHA,575.29
Los Angeles Lakers,LAL,Charlotte,CHA,2420.22
Los Angeles Clippers,LAC,Charlotte,CHA,2420.22
Memphis Grizzlies,MEM,Charlotte,CHA,627.46
Miami Heat,MIA,Charlotte,CHA,728.65
Milwaukee Bucks,MIL,Charlotte,CHA,852.37
Minnesota Timberwolves,MIN,Charlotte,CHA,1164.61
New Orleans Pelicans,NOP,Charlotte,CHA,714.84
New York Knicks,NYK,Charlotte,CHA,635.88
Oklahoma City Thunder,OKC,Charlotte,CHA,1086.24
Orlando Magic,ORL,Charlotte,CHA,525.04
Philadelphia 76ers,PHI,Charlotte,CHA,547.15
Phoenix Suns,PHX,Charlotte,CHA,2089.69
Portland Trailblazers,POR,Charlotte,CHA,2757.66
Sacramento Kings,SAC,Charlotte,CHA,2682.19
San Antonio Spurs,SAS,Charlotte,CHA,1227.04
Toronto Raptors,TOR,Charlotte,CHA,757.77
Utah Jazz,UTA,Charlotte,CHA,2033.09
Washington Wizards,WAS,Charlotte,CHA,400.21
Atlanta Hawks,ATL,Chicago,CHI,717.27
Boston Celtics,BOS,Chicago,CHI,984.73
Brooklyn Nets,BKN,Chicago,CHI,794.52
Charlotte Hornets,CHA,Chicago,CHI,767.69
Chicago Bulls,CHI,Chicago,CHI,0
Cleveland Cavaliers,CLE,Chicago,CHI,345.24
Dallas Mavericks,DAL,Chicago,CHI,928.46
Denver Nuggets,DEN,Chicago,CHI,1000.65
Detroit Pistons,DET,Chicago,CHI,282.85
Golden State Warriors,GSW,Chicago,CHI,2130.07
Houston Rockets,HOU,Chicago,CHI,1094.61
Indiana Pacers,IND,Chicago,CHI,187.37
Los Angeles Lakers,LAL,Chicago,CHI,2015.42
Los Angeles Clippers,LAC,Chicago,CHI,2015.42
Memphis Grizzlies,MEM,Chicago,CHI,535.59
Miami Heat,MIA,Chicago,CHI,1379.13
Milwaukee Bucks,MIL,Chicago,CHI,91.18
Minnesota Timberwolves,MIN,Chicago,CHI,407.54
New Orleans Pelicans,NOP,Chicago,CHI,927.85
New York Knicks,NYK,Chicago,CHI,792.92
Oklahoma City Thunder,OKC,Chicago,CHI,797.93
Orlando Magic,ORL,Chicago,CHI,1155.47
Philadelphia 76ers,PHI,Chicago,CHI,760.7
Phoenix Suns,PHX,Chicago,CHI,1750.67
Portland Trailblazers,POR,Chicago,CHI,2121.68
Sacramento Kings,SAC,Chicago,CHI,2046.21
San Antonio Spurs,SAS,Chicago,CHI,1239.14
Toronto Raptors,TOR,Chicago,CHI,520.26
Utah Jazz,UTA,Chicago,CHI,1397.11
Washington Wizards,WAS,Chicago,CHI,703.6
Atlanta Hawks,ATL,Cleveland,CLE,708.26
Boston Celtics,BOS,Cleveland,CLE,639.99
Brooklyn Nets,BKN,Cleveland,CLE,463.8
Charlotte Hornets,CHA,Cleveland,CLE,516.16
Chicago Bulls,CHI,Cleveland,CLE,345.63
Cleveland Cavaliers,CLE,Cleveland,CLE,0
Dallas Mavericks,DAL,Cleveland,CLE,1182.24
Denver Nuggets,DEN,Cleveland,CLE,1331.43
Detroit Pistons,DET,Cleveland,CLE,177.96
Golden State Warriors,GSW,Cleveland,CLE,2460.85
Houston Rockets,HOU,Cleveland,CLE,1306.84
Indiana Pacers,IND,Cleveland,CLE,316.17
Los Angeles Lakers,LAL,Cleveland,CLE,2346.56
Los Angeles Clippers,LAC,Cleveland,CLE,2346.56
Memphis Grizzlies,MEM,Cleveland,CLE,729.91
Miami Heat,MIA,Cleveland,CLE,1241.25
Milwaukee Bucks,MIL,Cleveland,CLE,435.04
Minnesota Timberwolves,MIN,Cleveland,CLE,751.4
New Orleans Pelicans,NOP,Cleveland,CLE,1052.99
New York Knicks,NYK,Cleveland,CLE,462.99
Oklahoma City Thunder,OKC,Cleveland,CLE,1056.95
Orlando Magic,ORL,Cleveland,CLE,1037.65
Philadelphia 76ers,PHI,Cleveland,CLE,430.74
Phoenix Suns,PHX,Cleveland,CLE,2014.14
Portland Trailblazers,POR,Cleveland,CLE,2452.46
Sacramento Kings,SAC,Cleveland,CLE,2376.99
San Antonio Spurs,SAS,Cleveland,CLE,1451.37
Toronto Raptors,TOR,Cleveland,CLE,290.73
Utah Jazz,UTA,Cleveland,CLE,1727.89
Washington Wizards,WAS,Cleveland,CLE,372.82
Atlanta Hawks,ATL,Dallas,DAL,784.23
Boston Celtics,BOS,Dallas,DAL,1770.72
Brooklyn Nets,BKN,Dallas,DAL,1551.85
Charlotte Hornets,CHA,Dallas,DAL,1029.09
Chicago Bulls,CHI,Dallas,DAL,971.8
Cleveland Cavaliers,CLE,Dallas,DAL,1184.86
Dallas Mavericks,DAL,Dallas,DAL,0
Denver Nuggets,DEN,Dallas,DAL,794
Detroit Pistons,DET,Dallas,DAL,1216.97
Golden State Warriors,GSW,Dallas,DAL,1714.18
Houston Rockets,HOU,Dallas,DAL,241.73
Indiana Pacers,IND,Dallas,DAL,909.47
Los Angeles Lakers,LAL,Dallas,DAL,1439.08
Los Angeles Clippers,LAC,Dallas,DAL,1439.08
Memphis Grizzlies,MEM,Dallas,DAL,456.66
Miami Heat,MIA,Dallas,DAL,1310.33
Milwaukee Bucks,MIL,Dallas,DAL,1000.42
Minnesota Timberwolves,MIN,Dallas,DAL,940.77
New Orleans Pelicans,NOP,Dallas,DAL,507.14
New York Knicks,NYK,Dallas,DAL,1552.83
Oklahoma City Thunder,OKC,Dallas,DAL,203.63
Orlando Magic,ORL,Dallas,DAL,1086.67
Philadelphia 76ers,PHI,Dallas,DAL,1469.58
Phoenix Suns,PHX,Dallas,DAL,1064.58
Portland Trailblazers,POR,Dallas,DAL,2007.01
Sacramento Kings,SAC,Dallas,DAL,1727.71
San Antonio Spurs,SAS,Dallas,DAL,271.93
Toronto Raptors,TOR,Dallas,DAL,1454.37
Utah Jazz,UTA,Dallas,DAL,1240.61
Washington Wizards,WAS,Dallas,DAL,1332.92
Atlanta Hawks,ATL,Denver,DEN,1401.54
Boston Celtics,BOS,Denver,DEN,1969.76
Brooklyn Nets,BKN,Denver,DEN,1778.79
Charlotte Hornets,CHA,Denver,DEN,1561.09
Chicago Bulls,CHI,Denver,DEN,999.74
Cleveland Cavaliers,CLE,Denver,DEN,1330.27
Dallas Mavericks,DAL,Denver,DEN,792.49
Denver Nuggets,DEN,Denver,DEN,0
Detroit Pistons,DET,Denver,DEN,1266.97
Golden State Warriors,GSW,Denver,DEN,1252.19
Houston Rockets,HOU,Denver,DEN,1033.81
Indiana Pacers,IND,Denver,DEN,1090.87
Los Angeles Lakers,LAL,Denver,DEN,1017.43
Los Angeles Clippers,LAC,Denver,DEN,1017.43
Memphis Grizzlies,MEM,Denver,DEN,1048.73
Miami Heat,MIA,Denver,DEN,2063.4
Milwaukee Bucks,MIL,Denver,DEN,1042.28
Minnesota Timberwolves,MIN,Denver,DEN,914.38
New Orleans Pelicans,NOP,Denver,DEN,1295.41
New York Knicks,NYK,Denver,DEN,1777.98
Oklahoma City Thunder,OKC,Denver,DEN,678.39
Orlando Magic,ORL,Denver,DEN,1839.74
Philadelphia 76ers,PHI,Denver,DEN,1726.81
Phoenix Suns,PHX,Denver,DEN,863.41
Portland Trailblazers,POR,Denver,DEN,1243.8
Sacramento Kings,SAC,Denver,DEN,1168.33
San Antonio Spurs,SAS,Denver,DEN,936.26
Toronto Raptors,TOR,Denver,DEN,1504.38
Utah Jazz,UTA,Denver,DEN,519.23
Washington Wizards,WAS,Denver,DEN,1661.54
Atlanta Hawks,ATL,Detroit,DET,720.91
Boston Celtics,BOS,Detroit,DET,718.75
Brooklyn Nets,BKN,Detroit,DET,616.45
Charlotte Hornets,CHA,Detroit,DET,629.8
Chicago Bulls,CHI,Detroit,DET,282.86
Cleveland Cavaliers,CLE,Detroit,DET,167.93
Dallas Mavericks,DAL,Detroit,DET,1185.9
Denver Nuggets,DEN,Detroit,DET,1267.42
Detroit Pistons,DET,Detroit,DET,0
Golden State Warriors,GSW,Detroit,DET,2396.85
Houston Rockets,HOU,Detroit,DET,1310.66
Indiana Pacers,IND,Detroit,DET,286.07
Los Angeles Lakers,LAL,Detroit,DET,2282.56
Los Angeles Clippers,LAC,Detroit,DET,2282.56
Memphis Grizzlies,MEM,Detroit,DET,742.57
Miami Heat,MIA,Detroit,DET,1382.77
Milwaukee Bucks,MIL,Detroit,DET,381.04
Minnesota Timberwolves,MIN,Detroit,DET,693.28
New Orleans Pelicans,NOP,Detroit,DET,1065.64
New York Knicks,NYK,Detroit,DET,615.78
Oklahoma City Thunder,OKC,Detroit,DET,1026.85
Orlando Magic,ORL,Detroit,DET,1159.11
Philadelphia 76ers,PHI,Detroit,DET,583.4
Phoenix Suns,PHX,Detroit,DET,1984.11
Portland Trailblazers,POR,Detroit,DET,2388.46
Sacramento Kings,SAC,Detroit,DET,2312.99
San Antonio Spurs,SAS,Detroit,DET,1455.03
Toronto Raptors,TOR,Detroit,DET,241.91
Utah Jazz,UTA,Detroit,DET,1663.88
Washington Wizards,WAS,Detroit,DET,525.48
Atlanta Hawks,ATL,Oakland,GSW,2456.9
Boston Celtics,BOS,Oakland,GSW,3095.38
Brooklyn Nets,BKN,Oakland,GSW,2904.41
Charlotte Hornets,CHA,Oakland,GSW,2701.77
Chicago Bulls,CHI,Oakland,GSW,2125.37
Cleveland Cavaliers,CLE,Oakland,GSW,2455.89
Dallas Mavericks,DAL,Oakland,GSW,1713.47
Denver Nuggets,DEN,Oakland,GSW,1209.03
Detroit Pistons,DET,Oakland,GSW,2392.59
Golden State Warriors,GSW,Oakland,GSW,0
Houston Rockets,HOU,Oakland,GSW,1910.89
Indiana Pacers,IND,Oakland,GSW,2271.63
