,OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,GAME_ID
0,1199,Tom,Washington,49  ,0021801230
1,202027,Tre,Maddox,73  ,0021801230
2,1626300,Ray,Acosta,54  ,0021801230
0,1195,Derrick,Stafford,9   ,0021600026
1,2004,Courtney,Kirkland,61  ,0021600026
2,201246,Kevin,Cutler,34  ,0021600026
0,1198,Scott,Wall,31  ,0021601111
1,101284,John,Goble,30  ,0021601111
2,202056,CJ,Washington,53  ,0021601111
0,1662,Bill,Kennedy,55  ,0021700107
1,201246,Kevin,Cutler,34  ,0021700107
2,201637,Haywoode,Workman,66  ,0021700107
0,101284,John,Goble,30  ,0021800088
1,202041,Kevin,Scott,28  ,0021800088
2,1628953,Ashley,Moyer-Gleich,75  ,0021800088
0,1193,Michael,Smith,38  ,0021800621
1,201639,Josh,Tiven,58  ,0021800621
2,1628159,Mousa,Dagher,57  ,0021800621
0,1162,Scott,Foster,48  ,0021600070
1,1664,Gary,Zielinski,59  ,0021600070
2,201245,Marat,Kogut,32  ,0021600070
0,1662,Bill,Kennedy,55  ,0021601063
1,2714,David,Guthrie,16  ,0021601063
2,200833,Eric,Dalen,37  ,0021601063
0,1174,Ken,Mauer,41  ,0021700177
1,202027,Tre,Maddox,73  ,0021700177
2,1627964,Jonathan,Sterling,17  ,0021700177
0,1164,Ron,Garretson,10  ,0021701184
1,1188,Leroy,Richardson,20  ,0021701184
2,2530,Ed,Malloy,14  ,0021701184
0,1147,Mike,Callahan,24  ,0021800556
1,202049,Ben,Taylor,46  ,0021800556
2,1626300,Ray,Acosta,54  ,0021800556
0,2715,Eric,Lewis,42  ,0021800791
1,200832,Curtis,Blair,74  ,0021800791
2,202035,Brett,Nansel,44  ,0021800791
0,1176,Monty,McCutchen,13  ,0021600100
1,2529,Tony,Brown,6   ,0021600100
2,202027,Tre,Maddox,73  ,0021600100
0,1195,Derrick,Stafford,9   ,0021601179
1,1201,Leon,Wood,40  ,0021601179
2,202041,Kevin,Scott,28  ,0021601179
0,1146,Tony,Brothers,25  ,0021700136
1,1198,Scott,Wall,31  ,0021700136
2,1626301,Jason,Goldenberg,35  ,0021700136
0,2002,Derrick,Collins,11  ,0021700397
1,101283,Brian,Forte,45  ,0021700397
2,203592,Dedric,Taylor,21  ,0021700397
0,1179,Rodney,Mott,71  ,0021800036
1,1204,Derek,Richardson,63  ,0021800036
2,202007,Nick,Buchert,3   ,0021800036
0,1148,James,Capers,19  ,0021800097
1,202901,Matt,Myers,43  ,0021800097
2,203592,Dedric,Taylor,21  ,0021800097
0,1174,Ken,Mauer,41  ,0021600154
1,1151,Sean,Corbin,33  ,0021600154
2,1627963,Phenizee,Ransom,70  ,0021600154
0,201637,Haywoode,Workman,66  ,0021600734
